time,future_open,future_high,future_low,future_close
2021/11/1 9:30,6996.2,7010.2,6992.6,7009.2
2021/11/1 9:31,7010.6,7020.8,7008.8,7012
2021/11/1 9:32,7011.8,7024,7010.4,7019.8
2021/11/1 9:33,7018.8,7022.2,7017,7019.4
2021/11/1 9:34,7019.4,7022.8,7017,7018.8
2021/11/1 9:35,7019,7019,7008.4,7008.4
2021/11/1 9:36,7009.4,7010.4,7000,7000.4
2021/11/1 9:37,6999.8,7003.4,6995.4,7000.8
2021/11/1 9:38,7001,7011.4,7000.6,7010
2021/11/1 9:39,7009.8,7019,7009.8,7017
2021/11/1 9:40,7017,7024.6,7016.2,7022
2021/11/1 9:41,7022.4,7028.6,7016.6,7022.4
2021/11/1 9:42,7021.2,7028,7019.4,7020.2
2021/11/1 9:43,7020.4,7030.8,7017.6,7025
2021/11/1 9:44,7023.8,7028.6,7022,7024
2021/11/1 9:45,7024.2,7024.2,7011.8,7013.4
2021/11/1 9:46,7013.6,7021.8,7012.4,7020.8
2021/11/1 9:47,7021.2,7025,7019.6,7022
2021/11/1 9:48,7022.4,7022.4,7013.8,7016
2021/11/1 9:49,7015.6,7022,7015,7019.8
2021/11/1 9:50,7018.4,7026.8,7016.6,7019.4
2021/11/1 9:51,7018.6,7025.4,7018.4,7021.8
2021/11/1 9:52,7021,7026.8,7019.2,7025.4
2021/11/1 9:53,7025,7028.4,7023,7026.4
2021/11/1 9:54,7026.6,7034.2,7026.6,7030.2
2021/11/1 9:55,7029,7036.6,7028.6,7031.8
2021/11/1 9:56,7031,7033.4,7026.6,7028.4
2021/11/1 9:57,7028.4,7032,7026,7026.2
2021/11/1 9:58,7026.6,7036.4,7026.6,7036
2021/11/1 9:59,7036,7038.6,7033.8,7038
2021/11/1 10:00,7037.8,7045,7036,7043.8
2021/11/1 10:01,7043.8,7044.2,7037.2,7039.8
2021/11/1 10:02,7039.4,7039.4,7032.8,7033.8
2021/11/1 10:03,7034,7036.8,7029.2,7030.6
2021/11/1 10:04,7030,7034.2,7027.8,7028.4
2021/11/1 10:05,7029.2,7029.2,7022.6,7023.8
2021/11/1 10:06,7023.8,7028.4,7022.6,7026.4
2021/11/1 10:07,7026.8,7027.6,7021,7023.4
2021/11/1 10:08,7021.6,7031.8,7019.6,7030
2021/11/1 10:09,7030,7031,7025.4,7025.8
2021/11/1 10:10,7025.8,7025.8,7013,7015.4
2021/11/1 10:11,7015.4,7015.4,7008,7010
2021/11/1 10:12,7009.2,7013,7006.6,7013
