,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
0,1,2.0,1.0,1.0,,2021-11-01 09:30:00,2021-11-01 09:31:00
1,2,6.0,-1.0,4.0,0.000342338747530663,2021-11-01 09:31:00,2021-11-01 09:35:00
2,7,8.0,-1.0,1.0,-0.00017141877648982933,2021-11-01 09:36:00,2021-11-01 09:37:00
3,8,9.0,1.0,1.0,0.0012561739739603843,2021-11-01 09:37:00,2021-11-01 09:38:00
4,9,16.0,-1.0,7.0,-0.0005419513232182057,2021-11-01 09:38:00,2021-11-01 09:45:00
5,16,18.0,1.0,2.0,0.0012539186595934594,2021-11-01 09:45:00,2021-11-01 09:47:00
6,18,19.0,-1.0,1.0,0.0009687990499867814,2021-11-01 09:47:00,2021-11-01 09:48:00
7,19,20.0,1.0,1.0,0.0003990309301911733,2021-11-01 09:48:00,2021-11-01 09:49:00
8,20,23.0,-1.0,3.0,-0.0009399433877724996,2021-11-01 09:49:00,2021-11-01 09:52:00
9,23,24.0,1.0,1.0,0.00022773207420013754,2021-11-01 09:52:00,2021-11-01 09:53:00
10,25,30.0,-1.0,5.0,-0.001251173137882886,2021-11-01 09:54:00,2021-11-01 09:59:00
11,30,34.0,1.0,4.0,-0.0011089155090777375,2021-11-01 09:59:00,2021-11-01 10:03:00
12,34,36.0,-1.0,2.0,0.0008823236992446667,2021-11-01 10:03:00,2021-11-01 10:05:00
13,36,37.0,1.0,1.0,0.00042702803376209287,2021-11-01 10:05:00,2021-11-01 10:06:00
14,37,38.0,-1.0,1.0,0.0007402978613199524,2021-11-01 10:06:00,2021-11-01 10:07:00
15,38,40.0,1.0,2.0,0.0005979754438757527,2021-11-01 10:07:00,2021-11-01 10:09:00
16,40,41.0,-1.0,1.0,0.001481355140846242,2021-11-01 10:09:00,2021-11-01 10:10:00
17,41,44.0,1.0,3.0,-0.00037068191639276027,2021-11-01 10:10:00,2021-11-01 10:13:00
18,44,45.0,-1.0,1.0,0.0015983563169918041,2021-11-01 10:13:00,2021-11-01 10:14:00
19,46,47.0,1.0,1.0,0.0010568862831627824,2021-11-01 10:15:00,2021-11-01 10:16:00
20,47,48.0,-1.0,1.0,0.0009997287283475893,2021-11-01 10:16:00,2021-11-01 10:17:00
21,48,50.0,1.0,2.0,0.0013708021337786216,2021-11-01 10:17:00,2021-11-01 10:19:00
22,50,53.0,-1.0,3.0,-0.0008843120771401348,2021-11-01 10:19:00,2021-11-01 10:22:00
23,53,55.0,1.0,2.0,0.0002280826809601965,2021-11-01 10:22:00,2021-11-01 10:24:00
24,55,56.0,-1.0,1.0,8.552490918200558e-05,2021-11-01 10:24:00,2021-11-01 10:25:00
25,57,58.0,-1.0,1.0,0.00019963780065450132,2021-11-01 10:26:00,2021-11-01 10:27:00
26,58,59.0,1.0,1.0,8.556393770448893e-05,2021-11-01 10:27:00,2021-11-01 10:28:00
27,59,62.0,-1.0,3.0,-0.0003706924863159064,2021-11-01 10:28:00,2021-11-01 10:31:00
28,62,67.0,1.0,5.0,0.0024203779061118163,2021-11-01 10:31:00,2021-11-01 10:36:00
29,68,72.0,1.0,4.0,0.000710620970482036,2021-11-01 10:37:00,2021-11-01 10:41:00
30,72,76.0,-1.0,4.0,-0.0014764760341457691,2021-11-01 10:41:00,2021-11-01 10:45:00
31,76,78.0,1.0,2.0,0.0002553227719229424,2021-11-01 10:45:00,2021-11-01 10:47:00
32,78,79.0,-1.0,1.0,-0.0005954997411159279,2021-11-01 10:47:00,2021-11-01 10:48:00
33,79,81.0,1.0,2.0,0.0005384800821637396,2021-11-01 10:48:00,2021-11-01 10:50:00
